hostel_name,City,latitude,longitude,feature,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security
Satkar For Girls,Indore,22.691486,75.8627395,"For Girls,NonAC,Wifi,Mess",2.7,"Bhawarkuan, Indore",6Votes,9109999706,9575366000,"196, Vishnupuri Nx Colony, Vishnu Puri Colony, Indore, Madhya Pradesh 452001, India",NA,5000,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Satkar For Girls,Indore,22.693736,75.8814401,"For Girls,NonAC,Wifi,Mess",4.1,"Navlakha, Indore",15Votes,7566661404,8982830392,"269, 14/1, Sajan Nagar, navalakha, Madhya Pradesh 452001, India",NA,4500,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Satkar For Girls,Indore,22.6978542,75.8697827,"For Girls,NonAC,Wifi,Mess",3.6,"Sapna Sangeeta Road, Indore",7Votes,7566661404,8982830392,"165, Baghwadeen Nagar, Janki Nagar Extension, Vidya Nagar, Indore, Madhya Pradesh 452001, India",5000,4800,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Satkar For Girls,Indore,22.6968585,75.8683671,"For Girls,NonAC,Wifi,Mess",4.5,"Sapna Sangeeta Road, Indore",8Votes,7566661404,8982830092,"177, Vidya Nagar, Indore, Madhya Pradesh 452001, India",NA,"5,500","5,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Satkar girls hostel,Indore,22.6851667,75.8693719,"For Girls,AC,Wifi,Mess",4,"Bhawarkuan, Indore",7Votes,9300832533,9302113353,"Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh, India",12000,7000,6500,For Girls,AC,Wifi,Mess,NA,NA
Satkar Girls Hostels Campus-07,Indore,22.6914213,75.8651815,"For Girls,AC,Wifi,Mess",4.8,"Bhawarkuan, Indore",8Votes,0731 - 4075559,9755588862,"59, Siddharth Nagar, Indore, Madhya Pradesh 452014, India",12000,6500,6000,For Girls,AC,Wifi,Mess,Cleaning,Security
Satkar Suvidha For Girls,Indore,22.6893995,75.8655368,"For Girls,NonAC,Wifi,Mess",3.4,"Bhawarkuan, Indore",9Votes,9826601579,8109110340,"160/2, Ahilya Puri, Indrapuri Colony, Colony, Indore, Madhya Pradesh 452001, India",NA,NA,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Satkar Suvidha For Girls,Indore,22.6841706,75.8640829,"For Girls,NonAC,Wifi,Mess",3,"Bhawarkuan, Indore",7Votes,9826601579,8109110340,"36/2, Bholaram Ustad Marg, Brahmapuri Colony, Shivampuri Colony, Indore, Madhya Pradesh 452001, India",NA,4500,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Satkar Suvidha For Girls,Indore,22.6885487,75.8671628,"For Girls,NonAC,Wifi,Mess",2.8,"Bhawarkuan, Indore",6Votes,9826601579,8109110340,"Indrapuri Colony Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",7500,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
SD For Girls,Indore,22.7124967,75.8794448,"For Girls,NonAC,Wifi,Mess",3.2,"M Y Hospital, Indore",6Votes,0731 - 2702182,9425955930,"Shop No. 37, MY Hospital Rd, Jaora Compund,Dalson Chambers, CRP Line, South Tukoganj, Tukoganj, Indore, Madhya Pradesh 452001, India","8,000","6,500",5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
