hostel_name,City,latitude,longitude,feature,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security
Aastha girls hostel,Indore,22.6885487,75.8671628,"For Girls,NonAC,Wifi,Mess",4.95,"Bhawarkuan, Indore",8Votes,9425054749,9826082392,"Indrapuri Colony Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",16000,8000,7500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Aayush Boys For Boys,Indore,22.6837224,75.8613839,"For Boys,NonAC,Wifi,Mess",3,"Bhawarkuan, Indore",7Votes,731 - 2465507,9039003726,"Pipliya Rao, Indore, Madhya Pradesh 452014, India",NA,3500,3000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Aditi Girls Hostel,Indore,22.6927876,75.8670118,"For Girls,AC,Wifi,Mess",4.3,"Bhawarkuan, Indore",7Votes,9039003424,8878472141,"Bhavarkuan Square, Indore, Madhya Pradesh, India",9000,6500,6300,For Girls,AC,Wifi,Mess,Cleaning,Security
Agrawal Guest House,Indore,22.7538199,75.907994,"For Boys,NonAC,Wifi,Mess",3.4,"Bombay Hospital, Indore",5Votes,8889844406,9589500544,"350-A, Mahalaxmi, Ganesh Nagar Main Rd, near Bank of India, Sector A, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010, India",10000,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Akanksha For Girls,Indore,22.7001285,75.8634777,"For Girls,NonAC,Wifi,Mess",3.3,"Bhawarkuan, Indore",7Votes,0731 - 2360534,9826867583,"Bhawarkua Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh, India",NA,5200,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Alka Parihar,Indore,22.7277431,75.8828279,"For Girls,NonAC,Wifi,Mess",3.5,"Janjirwala Square, Indore",8Votes,9926000387,9926000387,"Chandni Apartment, New Palasia, Indore, Madhya Pradesh 452001, India",NA,5000,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Aman For Boys,Indore,22.7334613,75.8497947,"For Boys,NonAC,Wifi,Mess",2.3,"Marimata Square, Indore",9Votes,0731 - 4227214,0731 - 4227214,"B1, swami complex, Marimata Rd, Marimata Chouraha, Brahm Bagh Colony, Indore, Madhya Pradesh 452001, India",NA,3000,1700,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Aman Homes,Indore,22.75328,75.904735,"For CoEd,NonAC,Wifi,Mess",3.2,"Bombay Hospital, Indore",8Votes,9826200390,9826290390,"Bombay Hospital, Eastern Ring Rd, Pushp Vihar Colony, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010, India",NA,NA,10000,For CoEd,NonAC,Wifi,Mess,Cleaning,Security
Angal For Girls,Indore,22.7504618,75.8994536,"For Girls,NonAC,Wifi,Mess",3,"Vijay Nagar, Indore",6Votes,0731 - 4222239,0731 - 4222239,"7,8 Ganga Devi Nagar, MR 10 Rd, near Radisson Hotel, Ganga Devi Nagar, Indore, Madhya Pradesh 452011, India",NA,5000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Apple For Girls,Indore,22.6970555,75.8650415,"For Girls,NonAC,Wifi,Mess",3.2,"Tower Square, Indore",6Votes,0731 - 4005438,8103921021,"No 922 Bhawar Kuan Road, Tower Chauraha, Near, Khatiwala Tank, Indore, Madhya Pradesh 452001, India",6000,5000,4700,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Apple For Girls,Indore,22.7641604,75.8855927,"For Girls,NonAC,Wifi,Mess",3.8,"Ashok Nagar, Indore",8Votes,0731 - 4287462,9691113052,"137,138 Sch No, near Brilliant Convention Centre, Scheme Number 78, Part II, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010, India",6500,4500,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Apple For Girls,Indore,22.6956217,75.866299,"For Girls,NonAC,Wifi,Mess",2.4,"Bhawarkuan, Indore",9Votes,0731 - 4287462,9229238910,"Shop No 11, Bhawarkua Main Rd, opposite RR Fuels Bharat Petrol Pump, Tower Square, Ashok Nagar, Indore, Madhya Pradesh 452001, India",NA,5300,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Apple Girls Hostel indore,Indore,22.6955749,75.8662635,"For Girls,NonAC,Wifi,Mess",3.2,"Bhawarkuan, Indore",5Votes,0731 - 4222239,0731 - 4222239,"11, Bhawarkua main Road, Near SBI ATM Opp. BHARAT PETROL PUMP between bhawarkua and tower square, Tower Chouraha, Ashok Nagar, Indore, Madhya Pradesh 452001, India",7000,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Aradhna For Girls,Indore,22.686373,75.8682617,"For Girls,NonAC,Wifi,Mess",2.8,"Bhawarkuan, Indore",8Votes,9406623820,9424819061,"163, Bhawarkua Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",NA,4900,4400,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Asha Home,Indore,22.75252,75.8989121,"For Girls,NonAC,Wifi,Mess",3.5,"Vijay Nagar, Indore",6Votes,0731 - 4059410,7509938807,"42, Maa Ambika Nagar Behind Mangal City Mall Near Vijay Nagar, Bhagyashree Colony, Indore, Madhya Pradesh 452010, India",NA,"5,900","5,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Ashirwad Unique For Girls,Indore,22.7230848,75.8652316,"For Girls,NonAC,Wifi,Mess",2.6,"Jail Road, Indore",5Votes,0731 - 2543119,9300262220,"C-10, Poddar Plaza, near Shastri Market, New Siyaganj, Indore, Madhya Pradesh 452001, India",NA,2200,3000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Ashiyana For Girls,Indore,22.7121068,75.873815,"For Girls,NonAC,Wifi,Mess",3.6,"Madhumilan Square, Indore",7Votes,0731 - 4096446,0731 - 4096446,"Near 5 Kibe Compound, Opposite Anand Petrol Pump Kamla Nehru School, Road, Kibe Compound, Indore, Madhya Pradesh 452007, India",NA,5700,5300,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Ashray For Boys,Indore,22.7425687,75.8970056,"For Boys,NonAC,Wifi,Mess",3.6,"Malviya Nagar, Indore",7Votes,9826030203,9826030203,"Scheme No. 54, Malviya Nagar, MR 9 Rd, opposite Barfani Dham, Malviya Nagar, Indore, Madhya Pradesh 452008, India",NA,4000,12000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Baba Kripa For Boys,Indore,22.7364123,75.8961313,"For Boys,NonAC,Wifi,Mess",3.1,"Press Complex, Indore",7Votes,9893883789,9893362886,"45, Anurag Nagar, behind Press Complex, Sunil Nagar, Krishna Bagh Colony, Indore, Madhya Pradesh 452001, India",NA,1700,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Bhagyalaxmi For Boys,Indore,22.7488963,75.9000885,"For Boys,NonAC,Wifi,Mess",3.2,"Vijay Nagar, Indore",5Votes,9754084007,9424084007,"246, Ward 35, Adarsh Meghdoot Nagar, Indore, Madhya Pradesh 452010, India",3000,2000,1750,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Bhagyalaxmi For Girls,Indore,22.7181449,75.8874301,"For Girls,NonAC,Wifi,Mess",2.6,"Geeta Bhawan, Indore",9Votes,9424515236,9926523916,"No. 13C, Geeta Bhawan Main Road, Near Geeta Bhawan Mandir, Kailash Park, Manoramaganj, Kailash Park Colony, Indore, Madhya Pradesh 452001, India",NA,8000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Bhakti Apartment Only Boys,Indore,22.6844633,75.8639934,"For Boys,NonAC,Wifi,Mess",3,"Bhawarkuan, Indore",7Votes,9826226930,9826226930,"Bholaram Ustad Marg, Indore, Madhya Pradesh 452014, India",NA,"4,000",NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Bhakti Sidhhant Saraswati For Boys,Indore,22.6942204,75.8676516,"For Boys,NonAC,Wifi,Mess",3.3,"Bhawarkuan, Indore",9Votes,9893166165,9753155637,"34, Bhawarkua Main Rd, Professor Colony, Indore, Madhya Pradesh 452001, India",NA,NA,2000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Chahat For Boys,Indore,22.6929707,75.8665465,"For Boys,NonAC,Wifi,Mess",3.2,"Bhawarkuan, Indore",6Votes,0731 - 4208174,9098941251,"Sch. N. 44-B, Bhawarkua Main Rd, opp. Police Station, Bhavarkuan Square, Aditya Nagar, Siddharth Nagar, Indore, Madhya Pradesh 452001, India",NA,NA,2800,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Deeksha For Boys,Indore,22.7699632,75.9007514,"For Boys,NonAC,Wifi,Mess",3.5,"Satya Sai Square, Indore",11Votes,8370000930,8839048424,"Scheme No 114, 409/416, AB Rd, Part I, Sant Nagar, Indore, Madhya Pradesh 452010, India","9,500","6,100","5,600",For Boys,NonAC,Wifi,Mess,Cleaning,Security
Dev boys hostel,Indore,22.6815121,75.8630311,"For Boys,NonAC,Wifi,Mess",3.4,"Bhawarkuan, Indore",7Votes,0731 - 4087209,0731 - 4087209,"32, Sector A, Hargovind Nagar, Pipliya Rao, Indore, Madhya Pradesh 452014, India",9000,7000,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
DS For Girls,Indore,22.7261507,75.8871804,"For Girls,NonAC,Wifi,Mess",2.9,"Old Palasia, Indore",7Votes,8821972000,8821972000,"10, 10, UCO Bank - New Palasia Branch, Gold Stone Building, Lala Banarasilal Dawar Marg, Near 56 Dukan, New Palasia, Indore, Madhya Pradesh 452001, India",NA,NA,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Dulce Domum For Girls,Indore,22.7148731,75.8898845,"For Girls,NonAC,Wifi,Mess",2.8,"Geeta Bhawan, Indore",8Votes,0731 - 4099932,9406811265,"Geeta Bhavan, Indore, Madhya Pradesh 452001, India",NA,8000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Empire Girls hostel,Indore,22.6931256,75.8626547,"For Girls,NonAC,Wifi,Mess",4.1,"Bhawarkuan, Indore",6Votes,9826660019,8770718271,"Aditya Nagar, Vishnu Puri Colony, Indore, Madhya Pradesh 452014, India",9000,7500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,NA
Fifth Avenue - Boys Hostel,Indore,22.7532848,75.8936962,"For Boys,NonAC,NonWifi,NA",3.5,"Vijay Nagar, Indore",6Votes,0731 - 2532393,0731 - 2532393,"Prestige Vihar, opposite to Life Care Hospital, Scheme No 74C, Vijay Nagar, Indore, Madhya Pradesh 452010, India",6000,5000,4000,For Boys,NonAC,NonWifi,NA,Cleaning,Security
Fifth Avenue-For Boys,Indore,22.7614058,75.8871407,"For Boys,NonAC,Wifi,Mess",4.5,"Vijay Nagar, Indore",1Vote,9039003424,8878472141,"5, Scheme 78, Main Rd, opp. Prestige Engg. College, Scheme Number 78, Part II, Vijay Nagar, Indore, Madhya Pradesh 452010, India",8000,4000,3500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Girls Paradise Hostel,Indore,22.7516441,75.8951858,"For Girls,NonAC,Wifi,Mess",3.1,"Vijay Nagar, Indore",7Votes,9713662039,9111425587,"Vijay Nagar Square, Vijay Nagar, Indore, Madhya Pradesh 452010, India",NA,"6,500",NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Gokul Residency girls hostel,Indore,22.7559257,75.8889281,"For Girls,NonAC,Wifi,Mess",4.5,"Vijay Nagar, Indore",6Votes,9303099998,9303099998,"17 Ff Sector F Sch .54, Scemen No 54, Vijay Nagar, Indore, 09182850970. call meMadhya Pradesh, Scemen No 54, Scheme No 54, Indore, Madhya Pradesh 452001, India",12000,6000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Guru Prasad For Girls,Indore,22.7369405,75.8901042,"For Girls,NonAC,Wifi,Mess",2.7,"MIG Square, Indore",6Votes,0731 - 2572378,0731 - 2572378,"D - 19, Prime Residency, Flat No. 203, HIG Colony behind Shopping Complex Near LIG Square, Opposite Shoppers Stop, LIG Colony, Indore, Madhya Pradesh 452018, India",3200,2750,2750,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Gurukripa Girls Hostel,Indore,22.6927778,75.8637655,"For Girls,NonAC,NonWifi,Mess",3.33,"Bhawarkuan, Indore",8Votes,7566863205,7566863205,"Aditya Nagar, Vishnu Puri Colony, Indore, Madhya Pradesh 452014, India",7500,6000,6000,For Girls,NonAC,NonWifi,Mess,Cleaning,Security
Happy For Boys,Indore,22.7014571,75.8625635,"For Boys,NonAC,Wifi,Mess",3.7,"Bhawarkuan, Indore",15Votes,9039377446,9039377446,"2nd & 3rd Floor,22/2Bairathi Colony Main Road Near Sindhi Colony Square, Bhawarkua Main Rd, Bairathi Colony, Khatiwala Tank, Indore, Madhya Pradesh 452001, India",4000,2500,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Hariom For Girls,Indore,22.7410716,75.7824301,"For Girls,NonAC,Wifi,Mess",4.1,Indore,5Votes,731 - 4274112,0731 - 4274112,"50, Siddharth Nagar, Gandhi Nagar, Indore, Madhya Pradesh 453112, India",NA,3000,,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Harshika Girls Hostel,Indore,22.6961476,75.8645616,"For Girls,NonAC,Wifi,Mess",3.5,"Bhawarkuan, Indore",5Votes,0731 - 4208174,9098941251,"16, Gurmeet Nagar, opposite ICICI Bank, Tower Chouraha, Bhanwarkua, Indore, Madhya Pradesh 452001, India",7500,6000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Harsiddhi Nilayam girl's Hostel,Indore,22.767186,75.8825784,"For Girls,NonAC,Wifi,Mess",3.5,"Vijay Nagar, Indore",7Votes,0731 - 2573366,9425060793,"B-720, near, SICA School Rd, Scheme No 136, Bulandshahr, Vijay Nagar, Indore, Madhya Pradesh 452001, India",9000,6500,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Indore Guest House,Indore,22.7500894,75.9027734,"For Boys,NonAC,Wifi,Mess",3,"Bombay Hospital, Indore",8Votes,9993332176,9981912176,"12, Ring Rd, Scheme No 171, Indore, Madhya Pradesh 452010, India",NA,"5,500","5,100",For Boys,NonAC,Wifi,Mess,Cleaning,Security
Indore Guest House For Boys,Indore,22.7544218,75.8989057,"For Boys,NonAC,Wifi,Mess",4,"Vijay Nagar, Indore",5Votes,9993332176,8982007007,"QV3X+QH6, Vijay Nagar, Indore, Madhya Pradesh 452010, India",NA,NA,,For Boys,NonAC,Wifi,Mess,Cleaning,Security
J S P Princess Residency For Girls,Indore,22.6991629,75.8671037,"For Girls,NonAC,Wifi,Mess",4,"Sneh Nagar, Indore",5Votes,731 - 2363770,9425937700,"Sapna Sangeeta Rd, Snehnagar, Indore, Madhya Pradesh 452007, India",NA,5000,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Jai Ranjeet Girls Hostel,Indore,22.6974585,75.8712145,"For Boys,NonAC,Wifi,Mess",3.8,"Tower Square, Indore",5Votes,9827600000,9827600000,"81, Janki Nagar Extension, Janki Nagar, Indore, Madhya Pradesh 452001, India",10200,7000,5800,For Boys,NonAC,Wifi,Mess,NA,Security
Jain Diwakar For Girls,Indore,22.7266713,75.8872403,"For Girls,NonAC,Wifi,Mess",2.9,"Old Palasia, Indore",8Votes,0731 - 2537150,0731 - 2537150,"AB Rd, near Sangam House, New Palasia, Indore, Madhya Pradesh 452001, India",NA,5150,4950,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Jain Girls Hostel,Indore,22.6857716,75.8639256,"For Girls,AC,Wifi,Mess",4,"Bhawarkuan, Indore",7Votes,0731 - 2703981,4289914,"Bholaram Ustad Market, Indore, Madhya Pradesh 452014, India",12000,7500,6800,For Girls,AC,Wifi,Mess,Cleaning,Security
JAS PRAKASH BOYS HOSTEL,Indore,22.6969607,75.8668303,"For Boys,NonAC,Wifi,Mess",4,"Bhawarkuan, Indore",8Votes,9993773990,9993773990,"Ashok Nagar, Indore, Madhya Pradesh 452001, India",13000,10000,8000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Jas Prakash For Boys,Indore,22.6967886,75.8656729,"For Boys,NonAC,Wifi,Mess",3.4,"Bhawarkuan, Indore",7Votes,0731 - 4050038,4044600,"3/4, Anjani Plaza, Bhawarkua Main Rd, Near ICICI Bank, Ashok Nagar, Indore, Madhya Pradesh 452001, India",NA,NA,2000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
JSP Princes Residency For Girls,Indore,22.6994747,75.8667118,"For Girls,NonAC,Wifi,Mess",3.4,"Sapna Sangeeta Road, Indore",8Votes,0731 - 2363770,9425937700,"30, Patel Nagar, Sneh Nagar Main Road Opp, Sapna Sangeeta Rd, Sindhi Colony, Indore, Madhya Pradesh 452001, India",NA,NA,6750,For Girls,NonAC,Wifi,Mess,Cleaning,Security
K.M. Girls Hostel,Indore,22.762337,75.90052,"For Girls,AC,Wifi,Mess",4,"Vijay Nagar, Indore",9Votes,7869957087,9827222348,"1, Part II, Shalimar Township, Indore, Madhya Pradesh 452010, India",9000,6900,5000,For Girls,AC,Wifi,Mess,Cleaning,Security
K2k boys hostel ,Indore,22.6872338,75.8660294,"For Boys,NonAC,Wifi,Mess",4,"Bhawarkuan, Indore",7Votes,9826200094,7771000231,"401, Indra Puri Colony, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",6500,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
K2K For Boys,Indore,22.6917023,75.8659957,"For Boys,NonAC,Wifi,Mess",3.2,"Bhawarkuan, Indore",6Votes,9584910000,9584910000,"125 , Bhawarkua square near gurjar hospital, Vishnu Puri Colony, Indore, Madhya Pradesh 452001, India",NA,"6,000","5,000",For Boys,NonAC,Wifi,Mess,Cleaning,Security
Kalp For Girls,Indore,22.7197259,75.9074173,"For Girls,NonAC,Wifi,Mess",3.2,"Mahalaxmi Nagar, Indore",6Votes,7566863205,7566863205,"8/2, Kanadia Main Rd, Bangali Chowk, Preethi Nagar, Indore, Madhya Pradesh 452016, India",NA,NA,3000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Karnawat For Boys,Indore,22.7577065,75.9145344,"For Boys,NonAC,Wifi,Mess",2.8,"Bombay Hospital, Indore",5Votes,8085954486,9425065586,"near Bombay Hospital, Sector R, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010, India",3500,2000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Kirti Boys Hostel,Indore,22.6741666,75.8797823,"For Boys,NonAC,Wifi,Mess",4.3,"Bhawarkuan, Indore",8Votes,0731 - 2497225,0731 - 2497225,"Khandwa Rd, Sant Nagar, Indore, Madhya Pradesh, India",9000,7000,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Krishna For Boys,Indore,22.7136061,75.8781544,"For Boys,NonAC,Wifi,Mess",3.8,"M Y Hospital, Indore",9Votes,8871390009,9753041434,"CRP Line, Indore, Madhya Pradesh 452001, India",NA,6000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Krishna For Girls,Indore,22.75252,75.8989121,"For Girls,NonAC,Wifi,Mess",2.6,"Vijay Nagar, Indore",5Votes,9752111118,9630784804,"42, Maa Ambika Nagar Behind Mangal City Mall Near Vijay Nagar, Bhagyashree Colony, Indore, Madhya Pradesh 452010, India","3,000","5,100","2,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Krishnashray Boys Hostel,Indore,22.6619182,75.823487,"For Girls,NonAC,Wifi,Mess",3.75,"Vijay Nagar, Indore",7Votes,7566661404,8982830392,"123, AB Rd, Gamle Wale Puliya, Royal Krishna Bunglows, Indore, Madhya Pradesh 453331, India",5000,6000,8000,For Girls,NonAC,Wifi,Mess,NA,NA
Kyra Boys Hostel,Indore,22.7571261,75.888992,"For Boys,NonAC,NonWifi,Mess",4.5,"Vijay Nagar, Indore",8Votes,9111110516,9111110516,"165, near Prestige School & Allen Coaching, Vijay Nagar, Sector DK1, Scheme No 74C, Indore, Madhya Pradesh 452001, India",2000,2000,2000,For Boys,NonAC,NonWifi,Mess,Cleaning,Security
Lakshya For Girls,Indore,22.6863729,75.8634888,"For Girls,NonAC,Wifi,Mess",3.2,"Bholaram Ustad Marg, Indore",5Votes,0731 - 4902927,0731 - 4902927,"Bholaram Ustad Marg, Bholaram Ustad Market, Brahmapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",NA,3700,3000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Lal Kamal Girls Hostel,Indore,22.6911173,75.8670545,"For Girls,NonAC,Wifi,Mess",3.5,"Bhawarkuan, Indore",8Votes,0731 - 2572378,0731 - 2572378,"C 25, Bhawarkua Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",9000,5500,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Lalmani For Girls,Indore,22.754501,75.9035451,"For Girls,NonAC,Wifi,Mess",4.1,"Bombay Hospital, Indore",12Votes,0731 - 4244737,9826064564,"IDA Scheme, No.94, 95, Eastern Ring Rd, Tulsi Nagar, Vijay Nagar, Indore, Madhya Pradesh 452010, India",NA,NA,5700,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Lav Kush For Boys,Indore,22.7141604,75.8739021,"For Boys,NonAC,Wifi,Mess",2.8,"M G Road, Indore",6Votes,9893072835,9926039045,"3, S Tukoganj Rd, Slice 2, South Tukoganj, Indore, Madhya Pradesh 452001, India",NA,NA,4200,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Looks For Girls,Indore,22.6901345,75.8676187,"For Girls,NonAC,Wifi,Mess",2.7,"Bhawarkuan, Indore",7Votes,9425900697,8821867000,"124, Indrapuri Colony Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",NA,5900,5400,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Maa Ashirwad For Boys,Indore,22.7181005,75.8846002,"For Boys,NonAC,Wifi,Mess",3,"Geeta Bhawan, Indore",7Votes,0731 - 2495012,9424083663,"202 Apollo trade center AB Road Manormaganj Area 2-B, Rajgarh Kothi Geeta Bhawan Square, A.B.Road on, BRTS, above Karur Vysya Bank/Allen, Rajgarh Kothi, Manorama Ganj, Indore, Madhya Pradesh 452001, India",NA,NA,2200,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Maa Narmada Nimar Girls hostel,Indore,22.691486,75.8627395,"For Girls,NonAC,Wifi,Mess",4.1,"Bhawarkuan, Indore",9Votes,9826082392,9425054749,"196, Vishnupuri Nx Colony, Vishnu Puri Colony, Indore, Madhya Pradesh 452001, India",9000,5300,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Maa Sharda For Boys,Indore,22.7978797,75.8453795,"For Boys,NonAC,Wifi,Mess",2.3,"Arbindo Hospital, Indore",6Votes,8719067068,8719067068,"Indore Ujjain, State Highway, Bhawrasla, Indore, Madhya Pradesh 452007, India",2000,3000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Madhur For Boys,Indore,22.761438,75.87025,"For Boys,NonAC,Wifi,Mess",3.2,"Bapat Square, Indore",6Votes,9826660019,8770718271,"Veena Nagar, Heera Nagar, Sukhlia, Indore, Madhya Pradesh 452010, India",NA,7000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Mahesh Blind For Girls & School,Indore,22.7555131,75.897785,"For Girls,NonAC,Wifi,Mess",2.7,"Bombay Hospital, Indore",6Votes,0731 - 2554757,,"Scheme No. 54, A.B. Road, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010, India",NA,6000,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Maheshwari For Girls,Indore,22.7087654,75.876985,"For Girls,NonAC,Wifi,Mess",3.3,"Chhawani, Indore",8Votes,9425903260,9425064600,"18, 4, Ushaganj, Chhawni, Indore, Madhya Pradesh 452001, India",NA,4500,4300,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Maheshwari For Girls,Indore,22.6568749,75.8859585,"For Girls,NonAC,Wifi,Mess",3.3,"Chhawani, Indore",10Votes,9425903260,9425064600,"10, 8, Ushaganj, Chhawni, Indore, Madhya Pradesh 452001, India",NA,4500,4300,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Matra Pitra kripa Bhawan,Indore,22.717592,75.861827,"For Boys,NonAC,NonWifi,NA",3,"Chhawani, Indore",8Votes,9826200390,9826290390,"101, Ranipura Main Rd, opp. Bhaiyya Ji Pyao, Jagjivan Ram Mohalla, Nayi Bagad, Ranipura, Indore, Madhya Pradesh 452002, India",5000,4500,4000,For Boys,NonAC,NonWifi,NA,NA,NA
Matrachaya,Indore,22.7332236,75.8916546,"For Girls,NonAC,Wifi,Mess",5,"LIG Square, Indore",4Votes,0731 - 4225100,2571144,"180, LIG Link Rd, Anoop Nagar, Indore, Madhya Pradesh 452011, India",NA,4500,3500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
